"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"3101",4,812,4e+09,395,1.89e+08,1210,93.8,93.8,93.8,4.35e+09
"3104",4,836,4.32e+08,388,39800000,1020,93.8,93.8,93.8,4.5e+08
"3107",4,861,1.95e+09,203,1.36e+08,727,93.8,93.8,93.8,2.3e+09
"3110",4,884,2.99e+09,940,1.12e+08,1820,497,93.8,93.8,3.23e+09
"3113",4,908,2.76e+08,93.8,18400000,224,93.8,93.8,93.8,6.4e+07
"3116",4,932,64800000,93.8,10700000,93.8,93.8,93.8,93.8,32600000
"3119",4,956,5.85e+08,93.8,47900000,485,93.8,93.8,93.8,1.75e+08
"3122",4,979,4.86e+08,613,1.48e+08,1680,260,93.8,93.8,2.7e+08
"3125",4,1004,1.96e+08,541,89800000,1910,93.8,93.8,93.8,2.3e+08
"3128",4,1027,97600000,318,30900000,827,93.8,93.8,93.8,35600000
"3131",4,1052,2.12e+08,458,1.22e+08,442,93.8,93.8,93.8,1.16e+08
"3134",4,1076,2.2e+09,625,1.65e+09,2310,93.8,93.8,93.8,1.3e+09
"3137",4,1099,1.26e+09,993,6.54e+08,3440,237,93.8,93.8,6.76e+08
"3140",4,1123,1.69e+08,93.8,45100000,285,611,93.8,93.8,1.91e+08
"3143",4,1147,66400000,93.8,13400000,466,844,93.8,93.8,63600000
"3146",4,1169,13500000,93.8,1550000,93.8,93.8,93.8,93.8,10700000
"3149",4,1193,8.05e+08,189,40800000,710,359,93.8,93.8,5.68e+08
"3152",4,1217,3270000,93.8,259000,93.8,93.8,93.8,93.8,3430000
"3155",4,1243,2.84e+08,93.8,32200000,93.8,93.8,93.8,93.8,4.32e+08
"3158",4,1265,4370000,93.8,1390000,93.8,93.8,93.8,93.8,4100000
"3161",4,1289,2.1e+07,93.8,5700000,93.8,93.8,93.8,93.8,24800000
"3164",4,1314,82600000,93.8,24400000,93.8,93.8,93.8,93.8,86100000
"3167",4,1339,2.2e+08,93.8,43300000,817,93.8,93.8,93.8,1.88e+08
"2235",5,0,5.64e+09,93.8,48500000,2.3e+09,93.8,93.8,93.8,93.8
"2238",5,17,8.93e+09,93.8,45600000,5.59e+09,93.8,93.8,93.8,93.8
"2241",5,41,3.6e+09,93.8,14800000,2.5e+09,93.8,93.8,93.8,93.8
"2244",5,65,5.5e+08,93.8,3820000,4.71e+08,93.8,93.8,93.8,93.8
"2246",5,92,8.09e+09,93.8,8940000,5.13e+09,93.8,93.8,93.8,93.8
"2249",5,114,6.72e+09,93.8,1700000,4.48e+09,93.8,93.8,93.8,93.8
"2252",5,138,5.8e+09,93.8,10900000,3.44e+09,93.8,93.8,93.8,93.8
"2255",5,162,9.31e+09,93.8,25900000,5.22e+09,93.8,93.8,93.8,93.8
"2258",5,185,9.1e+09,93.8,82600000,6.23e+09,232,93.8,93.8,93.8
"2261",5,211,1.79e+10,93.8,89900000,1.49e+10,93.8,93.8,93.8,93.8
"2264",5,236,1.34e+10,93.8,5.7e+07,8.31e+09,93.8,93.8,93.8,93.8
"2267",5,258,6.67e+09,93.8,15100000,4.33e+09,93.8,93.8,93.8,93.8
"2270",5,282,9.64e+09,93.8,3.3e+07,6.86e+09,93.8,93.8,93.8,93.8
"2273",5,307,2.86e+10,93.8,16200000,1.28e+10,93.8,93.8,93.8,93.8
"2276",5,330,1.89e+10,93.8,37300000,1.1e+10,93.8,93.8,93.8,93.8
"2279",5,354,1.48e+10,93.8,72400000,8.81e+09,93.8,93.8,93.8,93.8
"2282",5,380,1.77e+10,93.8,78200000,9.62e+09,93.8,93.8,93.8,93.8
"2285",5,404,8.87e+09,93.8,49800000,4.79e+09,201,93.8,93.8,93.8
"2288",5,429,3.44e+09,292,17200000,2e+09,363,93.8,93.8,93.8
"2291",5,450,7.56e+09,93.8,30900000,4.94e+09,93.8,93.8,93.8,93.8
"2294",5,482,1.27e+10,93.8,1.95e+08,9.25e+09,93.8,93.8,93.8,93.8
"2296",5,497,8.42e+09,93.8,1.43e+08,6.15e+09,93.8,93.8,93.8,93.8
"2299",5,528,9.34e+09,93.8,2.35e+08,6.5e+09,93.8,93.8,93.8,93.8
"2301",5,546,1.21e+10,93.8,1.9e+08,1.04e+10,93.8,93.8,93.8,93.8
"2304",5,571,4.41e+09,93.8,2.67e+08,3.09e+09,93.8,93.8,93.8,93.8
"2306",5,605,1.54e+10,93.8,5.86e+08,1.12e+10,93.8,93.8,93.8,93.8
"2308",5,618,7.08e+09,93.8,2.53e+08,2.98e+09,93.8,93.8,93.8,93.8
"2311",5,642,2.12e+10,93.8,3.3e+08,1.39e+10,93.8,93.8,93.8,93.8
"2314",5,666,1.37e+10,93.8,1.32e+08,1.37e+10,216,93.8,93.8,93.8
"2317",5,690,9.94e+09,93.8,98400000,7.26e+09,93.8,93.8,93.8,93.8
"2320",5,716,1.28e+10,93.8,1.02e+08,9.68e+09,93.8,93.8,93.8,93.8
